datetime,timestamp,alx_lx,tof_distance_mm
2026-06-06T12:36:19,1780742179,233.92000000000002,582
2026-06-06T12:36:24,1780742184,147.84,548
2026-06-06T12:36:29,1780742189,166.72,711
2026-06-06T12:36:34,1780742194,173.76,599
2026-06-06T12:36:39,1780742199,79.68,617
2026-06-06T12:36:44,1780742204,64.32000000000001,453
2026-06-06T12:36:49,1780742209,1069.44,1023
2026-06-06T12:36:54,1780742214,152.0,446
2026-06-06T12:36:59,1780742219,87.36,544
2026-06-06T12:37:04,1780742224,126.72,535
2026-06-06T12:37:09,1780742229,119.04,626
2026-06-06T12:37:14,1780742234,675.84,610
2026-06-06T12:37:19,1780742239,1302.4,0
2026-06-06T12:37:24,1780742244,639.6800000000001,354
2026-06-06T12:37:29,1780742249,897.28,570
2026-06-06T12:37:34,1780742254,644.48,637
2026-06-06T12:37:39,1780742259,670.08,299
2026-06-06T12:37:44,1780742264,920.32,850
2026-06-06T12:37:49,1780742269,620.16,489
2026-06-06T12:37:54,1780742274,258.56,153
2026-06-06T12:37:59,1780742279,211.52,272
2026-06-06T12:38:04,1780742284,190.08,472
2026-06-06T12:38:09,1780742289,1175.68,1074
2026-06-06T12:38:14,1780742294,441.92,391
2026-06-06T12:38:19,1780742299,488.96000000000004,279
2026-06-06T12:38:24,1780742304,526.4,576
2026-06-06T12:38:29,1780742309,6200.32,463
2026-06-06T12:38:34,1780742314,320.0,599
2026-06-06T12:38:39,1780742319,315.52,392
2026-06-06T12:38:44,1780742324,161.28,316
2026-06-06T12:38:49,1780742329,565.12,543
2026-06-06T12:38:54,1780742334,714.88,507
2026-06-06T12:38:59,1780742339,375.04,0
2026-06-06T12:39:04,1780742344,96.32000000000001,304
2026-06-06T12:39:09,1780742349,113.92,241
2026-06-06T12:39:14,1780742354,171.84,0
2026-06-06T12:39:19,1780742359,176.32,0
2026-06-06T12:39:24,1780742364,200.96,0
2026-06-06T12:39:29,1780742369,186.24,0
2026-06-06T12:39:34,1780742374,228.16,0
2026-06-06T12:39:39,1780742379,62.08,361
2026-06-06T12:39:44,1780742384,74.56,437
2026-06-06T12:39:49,1780742389,88.32000000000001,429
2026-06-06T12:39:54,1780742394,86.08,448
2026-06-06T12:39:59,1780742399,88.0,669
2026-06-06T12:40:04,1780742404,80.64,515
2026-06-06T12:40:09,1780742409,101.76,858
2026-06-06T12:40:14,1780742414,88.64,566
2026-06-06T12:40:19,1780742419,78.72,431
2026-06-06T12:40:24,1780742424,60.800000000000004,467
2026-06-06T12:40:29,1780742429,66.24,357
2026-06-06T12:40:34,1780742434,60.160000000000004,513
2026-06-06T12:40:39,1780742439,57.92,484
2026-06-06T12:40:44,1780742444,580.48,0
2026-06-06T12:40:49,1780742449,397.76,0
2026-06-06T12:40:54,1780742454,221.44,654
2026-06-06T12:40:59,1780742459,183.04,1292
2026-06-06T12:41:04,1780742464,157.76,0
2026-06-06T12:41:09,1780742469,456.32,233
2026-06-06T12:41:14,1780742474,626.24,0
2026-06-06T12:41:19,1780742479,420.16,1186
2026-06-06T12:41:24,1780742484,618.24,0
2026-06-06T12:41:29,1780742489,398.40000000000003,503
2026-06-06T12:41:34,1780742494,294.72,0
2026-06-06T12:41:39,1780742499,200.64000000000001,776
2026-06-06T12:41:44,1780742504,215.04,467
2026-06-06T12:41:49,1780742509,88.32000000000001,906
2026-06-06T12:41:54,1780742514,81.92,680
2026-06-06T12:41:59,1780742519,577.92,0
2026-06-06T12:42:04,1780742524,206.4,864
2026-06-06T12:42:09,1780742529,244.8,778
2026-06-06T12:42:14,1780742534,342.72,868
2026-06-06T12:42:19,1780742539,476.16,369
2026-06-06T12:42:24,1780742544,426.24,837
2026-06-06T12:42:29,1780742549,424.0,930
2026-06-06T12:42:34,1780742554,271.04,0
2026-06-06T12:42:39,1780742559,296.96,0
2026-06-06T12:42:44,1780742564,388.16,464
2026-06-06T12:42:49,1780742569,388.16,0
2026-06-06T12:42:54,1780742574,380.8,607
2026-06-06T12:42:59,1780742579,364.48,868
2026-06-06T12:43:04,1780742584,312.96,367
2026-06-06T12:43:09,1780742589,314.56,0
2026-06-06T12:43:14,1780742594,348.8,413
2026-06-06T12:43:19,1780742599,240.0,448
2026-06-06T12:43:24,1780742604,319.68,348
2026-06-06T12:43:29,1780742609,333.12,1348
2026-06-06T12:43:34,1780742614,151.04,830
2026-06-06T12:43:39,1780742619,177.92000000000002,0
2026-06-06T12:43:44,1780742624,314.88,141
2026-06-06T12:43:49,1780742629,820.48,1176
2026-06-06T12:43:54,1780742634,378.24,358
2026-06-06T12:43:59,1780742639,281.92,316
2026-06-06T12:44:04,1780742644,501.76,213
2026-06-06T12:44:09,1780742649,165.12,453
2026-06-06T12:44:14,1780742654,216.96,823
2026-06-06T12:44:19,1780742659,358.40000000000003,950
2026-06-06T12:44:24,1780742664,716.8000000000001,0
2026-06-06T12:44:29,1780742669,409.28000000000003,1259
2026-06-06T12:44:34,1780742674,373.12,937
2026-06-06T12:44:39,1780742679,421.44,758
2026-06-06T12:44:44,1780742684,394.88,1067
2026-06-06T12:44:49,1780742689,560.0,0
2026-06-06T12:44:54,1780742694,328.64,54
2026-06-06T12:44:59,1780742699,917.76,0
2026-06-06T12:45:04,1780742704,737.28,336
2026-06-06T12:45:09,1780742709,842.88,0
2026-06-06T12:45:14,1780742714,676.48,0
2026-06-06T12:45:19,1780742719,446.72,0
2026-06-06T12:45:24,1780742724,557.12,0
2026-06-06T12:45:29,1780742729,392.32,408
2026-06-06T12:45:34,1780742734,232.32,0
2026-06-06T12:45:39,1780742739,248.32,665
2026-06-06T12:45:44,1780742744,221.76,643
2026-06-06T12:45:49,1780742749,246.72,599
2026-06-06T12:45:54,1780742754,79.04,521
2026-06-06T12:45:59,1780742759,64.64,445
2026-06-06T12:46:04,1780742764,82.24,415
2026-06-06T12:46:09,1780742769,78.72,294
2026-06-06T12:46:14,1780742774,83.52,567
2026-06-06T12:46:19,1780742779,206.08,440
2026-06-06T12:46:24,1780742784,267.2,833
2026-06-06T12:46:29,1780742789,395.52,1209
2026-06-06T12:46:34,1780742794,93.12,658
2026-06-06T12:46:39,1780742799,89.60000000000001,509
2026-06-06T12:46:44,1780742804,105.92,712
2026-06-06T12:46:49,1780742809,375.36,487
2026-06-06T12:46:54,1780742814,630.08,0
2026-06-06T12:46:59,1780742819,591.04,0
2026-06-06T12:47:04,1780742824,601.28,0
2026-06-06T12:47:09,1780742829,582.4,0
2026-06-06T12:47:14,1780742834,352.96,950
2026-06-06T12:47:19,1780742839,319.04,960
2026-06-06T12:47:24,1780742844,312.96,946
2026-06-06T12:47:29,1780742849,298.56,415
2026-06-06T12:47:34,1780742854,66.56,474
2026-06-06T12:47:39,1780742859,61.44,169
2026-06-06T12:47:44,1780742864,58.88,539
2026-06-06T12:47:49,1780742869,73.92,275
2026-06-06T12:47:54,1780742874,73.60000000000001,335
2026-06-06T12:47:59,1780742879,241.28,372
2026-06-06T12:48:04,1780742884,568.96,120
2026-06-06T12:48:09,1780742889,168.96,0
2026-06-06T12:48:14,1780742894,549.12,0
2026-06-06T12:48:19,1780742899,728.32,0
2026-06-06T12:48:24,1780742904,1886.72,770
2026-06-06T12:48:29,1780742909,421.44,0
2026-06-06T12:48:34,1780742914,1916.16,0
2026-06-06T12:48:39,1780742919,2362.88,0
2026-06-06T12:48:44,1780742924,2374.4,0
2026-06-06T12:48:49,1780742929,2371.84,0
2026-06-06T12:48:54,1780742934,2626.56,0
2026-06-06T12:48:59,1780742939,2469.12,0
2026-06-06T12:49:04,1780742944,4810.24,0
2026-06-06T12:49:09,1780742949,5035.52,364
2026-06-06T12:49:14,1780742954,4293.12,639
2026-06-06T12:49:19,1780742959,3514.88,497
2026-06-06T12:49:24,1780742964,3479.04,549
2026-06-06T12:49:29,1780742969,4651.52,470
2026-06-06T12:49:34,1780742974,4538.88,583
2026-06-06T12:49:39,1780742979,5667.84,510
2026-06-06T12:49:44,1780742984,6320.64,0
2026-06-06T12:49:49,1780742989,6673.92,609
2026-06-06T12:49:54,1780742994,4311.04,0
2026-06-06T12:49:59,1780742999,2458.88,639
2026-06-06T12:50:04,1780743004,2174.7200000000003,688
2026-06-06T12:50:09,1780743009,1710.08,163
2026-06-06T12:50:14,1780743014,1621.76,816
2026-06-06T12:50:19,1780743019,1845.76,655
2026-06-06T12:50:24,1780743024,2209.28,139
2026-06-06T12:50:29,1780743029,1539.8400000000001,0
2026-06-06T12:50:34,1780743034,1450.24,815
2026-06-06T12:50:39,1780743039,1760.0,910
2026-06-06T12:50:44,1780743044,1754.88,776
2026-06-06T12:50:49,1780743049,2297.6,0
2026-06-06T12:50:54,1780743054,2467.84,0
2026-06-06T12:50:59,1780743059,1991.68,541
2026-06-06T12:51:04,1780743064,2769.92,0
2026-06-06T12:51:09,1780743069,2621.44,0
2026-06-06T12:51:14,1780743074,1575.68,0
2026-06-06T12:51:19,1780743079,320.0,902
2026-06-06T12:51:24,1780743084,1888.0,962
2026-06-06T12:51:29,1780743089,922.24,608
